,,,,,,pause
sw2510A-ms98-a-0001,A.1,0,0.5665,[silence],0.5665,4
sw2510B-ms98-a-0001,B.2,0,1.653625,[silence],1.653625,4
sw2510A-ms98-a-0001,A.1,0.5665,1.05,Okay,0.4835,
sw2510A-ms98-a-0001,A.1,1.05,1.13,do,0.08,
sw2510A-ms98-a-0001,A.1,1.13,1.19,you,0.06,
sw2510A-ms98-a-0001,A.1,1.19,1.29,have,0.1,
sw2510A-ms98-a-0001,A.1,1.29,1.43675,any,0.14675,
sw2510A-ms98-a-0001,A.1,1.43675,1.850375,pets,0.413625,
sw2510B-ms98-a-0002,B.2,1.653625,2.199375,[silence],0.54575,4
sw2510A-ms98-a-0001,A.3,1.850375,2.090875,[silence],0.2405,2
sw2510A-ms98-a-0002,A.3,2.090875,3.5815,[silence],1.490625,4
sw2510B-ms98-a-0002,B.2,2.199375,2.453625,Yeah,0.25425,
sw2510B-ms98-a-0002,B.2,2.453625,2.493625,I,0.04,
sw2510B-ms98-a-0002,B.2,2.493625,2.703625,have,0.21,
sw2510B-ms98-a-0002,B.2,2.703625,2.933625,three,0.23,
sw2510B-ms98-a-0002,B.2,2.933625,3.323625,cats,0.39,
sw2510B-ms98-a-0002,B.2,3.323625,3.453625,and,0.13,
sw2510B-ms98-a-0002,B.2,3.453625,3.483625,a,0.03,
sw2510B-ms98-a-0002,B.2,3.483625,3.932625,dog,0.449,
sw2510A-ms98-a-0003,A.3,3.5815,3.991625,[silence],0.410125,4
sw2510B-ms98-a-0002,B.4,3.932625,4.30775,[silence],0.375125,4
sw2510A-ms98-a-0003,A.3,3.991625,4.28375,[noise],0.292125,
sw2510A-ms98-a-0003,A.3,4.28375,4.561125,Oh,0.277375,
sw2510B-ms98-a-0003,B.4,4.30775,5.997625,[silence],1.689875,4
sw2510A-ms98-a-0003,A.3,4.561125,5.00975,boy,0.448625,
sw2510A-ms98-a-0003,A.3,5.00975,5.482125,[silence],0.472375,2
sw2510A-ms98-a-0003,A.3,5.482125,5.8015,Sound,0.319375,
sw2510A-ms98-a-0003,A.3,5.8015,6.064625,like,0.263125,
sw2510B-ms98-a-0004,B.4,5.997625,6.377625,[silence],0.38,4
sw2510A-ms98-a-0003,A.3,6.064625,6.363,us,0.298375,
sw2510A-ms98-a-0003,A.3,6.363,6.76875,we,0.40575,
sw2510B-ms98-a-0004,B.4,6.377625,6.802125,Um,0.4245,
sw2510A-ms98-a-0003,A.3,6.76875,6.76875,have,0,
sw2510A-ms98-a-0003,A.5,6.76875,7.472125,[silence],0.703375,4
sw2510B-ms98-a-0004,B.6,6.802125,7.29975,[silence],0.497625,2
sw2510B-ms98-a-0005,B.6,7.29975,8.00975,[silence],0.71,4
sw2510A-ms98-a-0003,A.5,7.472125,7.575125,go,0.103,
sw2510A-ms98-a-0003,A.5,7.575125,7.691875,ahead,0.11675,
sw2510A-ms98-a-0003,A.7,7.691875,8.10225,[silence],0.410375,4
sw2510B-ms98-a-0005,B.6,8.00975,8.40025,Um,0.3905,
sw2510A-ms98-a-0004,A.7,8.10225,11.716125,[silence],3.613875,4
sw2510B-ms98-a-0005,B.6,8.40025,8.611125,[silence],0.210875,2
sw2510B-ms98-a-0005,B.6,8.611125,8.82975,we,0.218625,
sw2510B-ms98-a-0005,B.6,8.82975,9.03975,just,0.21,
sw2510B-ms98-a-0005,B.6,9.03975,9.25975,got,0.22,
sw2510B-ms98-a-0005,B.6,9.25975,9.35975,the,0.1,
sw2510B-ms98-a-0005,B.6,9.35975,9.54975,the,0.19,
sw2510B-ms98-a-0005,B.6,9.54975,10.004125,dog,0.454375,
sw2510B-ms98-a-0005,B.6,10.004125,10.29975,less,0.295625,
sw2510B-ms98-a-0005,B.6,10.29975,10.40975,than,0.11,
sw2510B-ms98-a-0005,B.6,10.40975,10.44975,a,0.04,
sw2510B-ms98-a-0005,B.6,10.44975,10.66975,year,0.22,
sw2510B-ms98-a-0005,B.6,10.66975,10.92975,ago,0.26,
sw2510B-ms98-a-0005,B.6,10.92975,11.03975,so,0.11,
sw2510B-ms98-a-0005,B.6,11.03975,11.21975,he's,0.18,
sw2510B-ms98-a-0005,B.6,11.21975,11.43975,still,0.22,
sw2510B-ms98-a-0005,B.6,11.43975,11.48975,a,0.05,
sw2510B-ms98-a-0005,B.6,11.48975,12.03275,puppy,0.543,
sw2510A-ms98-a-0005,A.7,11.716125,12.008875,[silence],0.29275,2
sw2510A-ms98-a-0005,A.7,12.008875,12.316125,Oh,0.30725,
sw2510B-ms98-a-0005,B.8,12.03275,12.750125,[silence],0.717375,4
sw2510A-ms98-a-0005,A.7,12.316125,12.446125,what,0.13,
sw2510A-ms98-a-0005,A.7,12.446125,12.676125,kind,0.23,
sw2510A-ms98-a-0005,A.7,12.676125,12.806125,is,0.13,
sw2510B-ms98-a-0006,B.8,12.750125,13.060125,[silence],0.31,4
sw2510A-ms98-a-0005,A.7,12.806125,12.975,it,0.168875,
sw2510A-ms98-a-0005,A.9,12.975,13.353,[silence],0.378,4
sw2510B-ms98-a-0006,B.8,13.060125,13.350125,He's,0.29,
sw2510B-ms98-a-0006,B.8,13.350125,13.420125,a,0.07,
